#  x_min   x_max      data
    3.0     3.25   -2.7949951
    3.25    3.5    -1.0378717
    3.5     3.75   -0.3404257
    3.75    4.0    -0.0263145
    4.0     4.25    0.1282475
    4.25    4.5     0.1581137
    4.5     4.75    0.1388597
    4.75    5.0     0.0915691
    5.0     5.25    0.0432807
    5.25    5.5    -0.0130007
    5.5     5.75   -0.0575665
    5.75    6.0    -0.0541078
    6.0     6.25   -0.0472113
    6.25    6.5    -0.0322579
    6.5     6.75   -0.0047247
    6.75    7.0     0.0179996
    7.0     7.25    0.0619590
    7.25    7.5     0.0722711
    7.5     7.75    0.0822839
    7.75    8.0     0.0867811
    8.0     8.25    0.0570619
    8.25    8.5     0.0435853
    8.5     8.75   -0.0003548
    8.75    9.0    -0.0293781
    9.0     9.25   -0.0503689
    9.25    9.5    -0.0625486
    9.5     9.75   -0.0508322
    9.75   10.0    -0.0225739
   10.0    10.25    0.0014481
   10.25   10.5     0.0203830
   10.5    10.75    0.0101343
   10.75   11.0     0.0186541
   11.0    11.25    0.0201469
   11.25   11.5     0.0021401
   11.5    11.75    0.0007456
   11.75   12.0     0.0043490
   12.0    12.25   -0.0243364
   12.25   12.5     0.0057504
   12.5    12.75   -0.0081587
   12.75   13.0     0.0163873
   13.0    13.25   -0.0177435
   13.25   13.5     0.0135521
   13.5    13.75   -0.0183308
   13.75   14.0    -0.0027601
