# column2  
#           x                    probability
7.363729396000000094e+00 2.008726228131188648e-04
7.413512188000000336e+00 4.017452456262448853e-04
7.463294979999999690e+00 2.008726228131188648e-04
7.513077771999999932e+00 6.026178684393566215e-04
7.562860564000000174e+00 0.000000000000000000e+00
7.612643355999999528e+00 6.026178684393673551e-04
7.662426147999999770e+00 4.017452456262377296e-04
7.712208940000000013e+00 2.008726228131188648e-04
7.761991732000000255e+00 6.026178684393566215e-04
7.811774524000000497e+00 2.008726228131224427e-04
7.861557315999999851e+00 6.026178684393566215e-04
7.911340108000000093e+00 2.008726228131188648e-04
7.961122900000000335e+00 1.205235736878713243e-03
8.010905692000001466e+00 4.017452456262377296e-04
8.060688483999999931e+00 6.026178684393780887e-04
8.110471275999998397e+00 1.406108359691831972e-03
8.160254068000000416e+00 1.406108359691831972e-03
8.210036859999998882e+00 4.017452456262377296e-04
8.259819652000000900e+00 1.205235736878713243e-03
8.309602443999999366e+00 1.807853605318069865e-03
8.359385236000001385e+00 1.606980982504950918e-03
8.409168027999999850e+00 1.606980982504950918e-03
8.458950820000000093e+00 2.209598850944386687e-03
8.508733612000000335e+00 1.606980982504950918e-03
8.558516403999998801e+00 2.008726228131188594e-03
8.608299196000000819e+00 2.008726228131188594e-03
8.658081987999999285e+00 4.017452456262377188e-03
8.707864780000001304e+00 3.414834587823021000e-03
8.757647571999999769e+00 2.812216719383663945e-03
8.807430364000000012e+00 3.213961965010016762e-03
8.857213156000000254e+00 4.620070324701733809e-03
8.906995947999998720e+00 3.816579833449258458e-03
8.956778740000000738e+00 2.812216719383663945e-03
9.006561531999999204e+00 3.013089342196783108e-03
9.056344324000001222e+00 4.620070324701733809e-03
9.106127115999999688e+00 3.615707210636139729e-03
9.155909907999999930e+00 3.414834587823142430e-03
9.205692700000000173e+00 4.218325079075496351e-03
9.255475491999998638e+00 6.628796552832921969e-03
9.305258284000000657e+00 7.030541798459160295e-03
9.355041075999999123e+00 4.017452456262377188e-03
9.404823868000001141e+00 6.227051307206685378e-03
9.454606659999999607e+00 7.030541798459160295e-03
9.504389451999999849e+00 6.628796552833158759e-03
9.554172244000000092e+00 5.825306061580447052e-03
9.603955035999998557e+00 6.829669175646041999e-03
9.653737828000000576e+00 7.633159666898516917e-03
9.703520619999999042e+00 4.620070324701733809e-03
9.753303412000001060e+00 9.441013272216587648e-03
9.803086203999999526e+00 1.064624900909529916e-02
9.852868995999999768e+00 8.034904912525042339e-03
9.902651788000000010e+00 9.842758517842472091e-03
9.952434580000000253e+00 9.842758517843174654e-03
1.000221737200000049e+01 7.834032289711636080e-03
1.005200016399999896e+01 1.004363114065594427e-02
1.010178295600000098e+01 9.240140649403467618e-03
1.015156574799999945e+01 6.829669175646041999e-03
1.020134853999999969e+01 9.240140649403797216e-03
1.025113133199999993e+01 8.838395403776915307e-03
1.030091412400000017e+01 1.305672048285319228e-02
1.035069691600000041e+01 1.446282884254455892e-02
1.040047970799999888e+01 1.225322999160025073e-02
1.045026250000000090e+01 1.225322999160025073e-02
1.050004529199999936e+01 9.842758517842824240e-03
1.054982808399999961e+01 1.265497523722694008e-02
1.059961087599999985e+01 9.842758517842472091e-03
1.064939366800000009e+01 1.024450376346942686e-02
1.069917646000000033e+01 1.245410261441337076e-02
1.074895925199999880e+01 1.486457408817079551e-02
1.079874204400000082e+01 1.727504556192822199e-02
1.084852483599999928e+01 1.486457408817079551e-02
1.089830762800000130e+01 1.386021097410520229e-02
1.094809041999999977e+01 1.285584786003960735e-02
1.099787321200000001e+01 9.842758517843174654e-03
1.104765600400000025e+01 1.506544671098391554e-02
1.109743879599999872e+01 1.506544671098391554e-02
1.114722158800000074e+01 1.526631933379703383e-02
1.119700437999999920e+01 1.486457408817079551e-02
1.124678717200000122e+01 1.647155507067574881e-02
1.129656996399999969e+01 1.647155507067574881e-02
1.134635275599999993e+01 1.928377179006009884e-02
1.139613554800000017e+01 2.068988014975050790e-02
1.144591834000000041e+01 1.727504556192883955e-02
1.149570113200000065e+01 1.566806457942327216e-02
1.154548392399999912e+01 1.647155507067574881e-02
1.159526671599999936e+01 1.868115392162071967e-02
1.164504950799999961e+01 1.747591818474071579e-02
1.169483229999999985e+01 1.707417293911571432e-02
1.174461509200000009e+01 1.767679080755383061e-02
1.179439788400000033e+01 2.289947900069637041e-02
1.184418067600000057e+01 2.028813490412500684e-02
1.189396346799999904e+01 1.868115392162005353e-02
1.194374626000000106e+01 1.787766343036758035e-02
1.199352905199999952e+01 1.767679080755445858e-02
1.204331184399999977e+01 1.586893720223695597e-02
1.209309463600000001e+01 1.747591818474071579e-02
1.214287742800000025e+01 1.968551703568634931e-02
1.219266022000000049e+01 2.089075277256436172e-02
1.224244301199999896e+01 2.068988014975124343e-02
1.229222580400000098e+01 1.968551703568564848e-02
1.234200859599999944e+01 2.390384211476114656e-02
1.239179138799999969e+01 2.209598850944386253e-02
1.244157417999999993e+01 2.269860637788161800e-02
1.249135697200000017e+01 2.410471473757512181e-02
1.254113976400000041e+01 1.707417293911510370e-02
1.259092255599999888e+01 2.028813490412500684e-02
1.264070534800000090e+01 1.968551703568564848e-02
1.269048813999999936e+01 2.330122424632178821e-02
1.274027093199999960e+01 1.868115392162071967e-02
1.279005372399999985e+01 1.827940867599316468e-02
1.283983651600000009e+01 1.747591818474196479e-02
1.288961930800000033e+01 1.827940867599381694e-02
1.293940209999999880e+01 2.189511588662995667e-02
1.298918489200000081e+01 1.807853605318069865e-02
1.303896768399999928e+01 1.948464441287253018e-02
1.308875047599999952e+01 2.310035162350949564e-02
1.313853326799999977e+01 1.827940867599316468e-02
1.318831606000000001e+01 1.928377179006009884e-02
1.323809885200000025e+01 1.848028129880693524e-02
1.328788164399999872e+01 1.888202654443317530e-02
1.333766443600000073e+01 1.868115392162005353e-02
1.338744722799999920e+01 1.888202654443317530e-02
1.343723001999999944e+01 1.727504556192883955e-02
1.348701281199999968e+01 2.189511588662917257e-02
1.353679560399999993e+01 2.169424326381761206e-02
1.358657839600000017e+01 1.727504556192760790e-02
1.363636118800000041e+01 1.546719195661070377e-02
1.368614398000000065e+01 1.767679080755445858e-02
1.373592677199999912e+01 1.848028129880693524e-02
1.378570956399999936e+01 1.506544671098445157e-02
1.383549235599999960e+01 1.606980982504893629e-02
1.388527514799999985e+01 1.727504556192883955e-02
1.393505794000000009e+01 1.526631933379648913e-02
1.398484073200000033e+01 1.747591818474196479e-02
1.403462352400000057e+01 1.466370146535767548e-02
1.408440631599999904e+01 2.109162539537748349e-02
1.413418910800000106e+01 1.707417293911510370e-02
1.418397189999999952e+01 1.586893720223639045e-02
1.423375469199999976e+01 1.647155507067633515e-02
1.428353748400000001e+01 1.606980982504893629e-02
1.433332027600000025e+01 1.647155507067633515e-02
1.438310306800000049e+01 1.747591818474134376e-02
1.443288585999999896e+01 1.265497523722648732e-02
1.448266865200000098e+01 1.807853605318069865e-02
1.453245144399999944e+01 1.707417293911510370e-02
1.458223423599999968e+01 1.807853605318134049e-02
1.463201702799999993e+01 1.667242769348827036e-02
1.468179982000000017e+01 1.787766343036821526e-02
1.473158261200000041e+01 1.647155507067574881e-02
1.478136540399999888e+01 1.486457408817079551e-02
1.483114819600000089e+01 1.647155507067574881e-02
1.488093098799999936e+01 1.948464441287253018e-02
1.493071377999999960e+01 1.727504556192883955e-02
1.498049657199999984e+01 1.506544671098337604e-02
1.503027936400000009e+01 2.189511588663073730e-02
1.508006215600000033e+01 2.169424326381683837e-02
1.512984494799999879e+01 1.566806457942327216e-02
1.517962774000000081e+01 2.149337064100371661e-02
1.522941053199999928e+01 2.068988014975124343e-02
1.527919332399999952e+01 1.827940867599446920e-02
1.532897611599999976e+01 2.008726228131117036e-02
1.537875890800000001e+01 1.365933835129256972e-02
1.542854170000000025e+01 1.627068244786204765e-02
1.547832449200000049e+01 1.848028129880759443e-02
1.552810728399999896e+01 2.310035162350949564e-02
1.557789007599999920e+01 1.988638965849805901e-02
1.562767286799999944e+01 1.827940867599446920e-02
1.567745565999999968e+01 2.249773375506851011e-02
1.572723845199999992e+01 1.787766343036821526e-02
1.577702124400000017e+01 1.928377179005872147e-02
1.582680403600000041e+01 2.089075277256510765e-02
1.587658682799999887e+01 2.249773375507011647e-02
1.592636961999999912e+01 2.229686113225539876e-02
1.597615241199999936e+01 2.370296949194887134e-02
1.602593520399999960e+01 2.008726228131117036e-02
1.607571799600000162e+01 2.169424326381761206e-02
1.612550078800000009e+01 2.028813490412428172e-02
1.617528357999999855e+01 2.089075277256510765e-02
1.622506637200000057e+01 2.209598850944228740e-02
1.627484916400000259e+01 2.068988014975197895e-02
1.632463195599999750e+01 2.390384211476199658e-02
1.637441474799999952e+01 2.129249801818983850e-02
1.642419754000000154e+01 2.149337064100448683e-02
1.647398033200000000e+01 1.848028129880627604e-02
1.652376312399999847e+01 2.028813490412572848e-02
1.657354591600000049e+01 2.450645998319963062e-02
1.662332870800000251e+01 2.249773375507011647e-02
1.667311149999999742e+01 2.490820522882762969e-02
1.672289429199999944e+01 2.129249801818983850e-02
1.677267708400000146e+01 2.490820522882762969e-02
1.682245987599999992e+01 2.450645998319963062e-02
1.687224266799999839e+01 2.832303981665077255e-02
1.692202546000000041e+01 2.691693145695696690e-02
1.697180825200000243e+01 2.350209686913574264e-02
1.702159104399999734e+01 2.189511588663073730e-02
1.707137383599999936e+01 2.631431358851763283e-02
1.712115662800000138e+01 2.631431358851951327e-02
1.717093941999999984e+01 2.209598850944228740e-02
1.722072221199999831e+01 2.350209686913574264e-02
1.727050500400000033e+01 2.691693145695696690e-02
1.732028779600000234e+01 2.530995047445388016e-02
1.737007058799999726e+01 2.751954932539826468e-02
1.741985337999999928e+01 2.731867670258318961e-02
1.746963617200000130e+01 2.410471473757512181e-02
1.751941896399999976e+01 2.571169572007829529e-02
1.756920175599999823e+01 3.093438391322140754e-02
1.761898454800000025e+01 2.812216719383563851e-02
1.766876734000000226e+01 3.013089342196890313e-02
1.771855013199999718e+01 3.113525653603453625e-02
1.776833292399999920e+01 2.792129457102252715e-02
1.781811571600000121e+01 2.852391243946389779e-02
1.786789850799999968e+01 2.912653030790119876e-02
1.791768129999999815e+01 3.394747325541829647e-02
1.796746409200000016e+01 3.093438391321920444e-02
1.801724688400000218e+01 2.912653030790327696e-02
1.806702967599999710e+01 3.193874702728703718e-02
1.811681246799999911e+01 2.711780407977008173e-02
1.816659526000000113e+01 2.852391243946389779e-02
1.821637805199999960e+01 3.153700178165853851e-02
1.826616084399999806e+01 2.792129457102451862e-02
1.831594363600000008e+01 3.053263866759297826e-02
1.836572642800000210e+01 3.133612915884766148e-02
1.841550922000000057e+01 2.952827555352741801e-02
1.846529201199999903e+01 3.133612915884766148e-02
1.851507480400000105e+01 3.294311014135267029e-02
1.856485759599999952e+01 3.655881735198632937e-02
1.861464038799999798e+01 3.133612915884766148e-02
1.866442318000000000e+01 3.535358161510766123e-02
1.871420597200000202e+01 3.294311014135267029e-02
1.876398876400000049e+01 3.093438391321920444e-02
1.881377155599999895e+01 3.173787440447391195e-02
1.886355434800000097e+01 3.294311014135267029e-02
1.891333713999999944e+01 2.993002079915364419e-02
1.896311993199999790e+01 3.113525653603453625e-02
1.901290272399999992e+01 3.073351129040608962e-02
1.906268551600000194e+01 2.792129457102451862e-02
1.911246830800000041e+01 3.535358161510766123e-02
1.916225109999999887e+01 2.932740293071640220e-02
1.921203389200000089e+01 3.213961965010016936e-02
1.926181668399999936e+01 2.711780407977008173e-02
1.931159947599999782e+01 3.073351129040828231e-02
1.936138226799999984e+01 3.515270899229454987e-02
1.941116506000000186e+01 3.033176604478202837e-02
1.946094785200000032e+01 3.013089342196675208e-02
1.951073064399999879e+01 3.374660063260517123e-02
1.956051343600000081e+01 2.289947900069637041e-02
1.961029622799999927e+01 3.334485538697654072e-02
1.966007901999999774e+01 3.193874702728703718e-02
1.970986181199999976e+01 2.872478506227497258e-02
1.975964460400000178e+01 3.294311014135267029e-02
1.980942739600000024e+01 3.213961965009787258e-02
1.985921018799999871e+01 3.515270899229705481e-02
1.990899298000000073e+01 2.993002079915577790e-02
1.995877577199999919e+01 2.912653030790119876e-02
2.000855856399999766e+01 3.033176604478202837e-02
2.005834135599999968e+01 2.631431358851763283e-02
